53 		Aeternity 	AE 	0,4206 	$110,27M 	$52,49M 	0,16% 	+1,18% 	+1,27%
54 		Komodo 	KMD 	0,95747 	$105,72M 	$4,05M 	0,01% 	+6,74% 	-5,62%
55 		Verge 	XVG 	0,006342 	$96,90M 	$3,13M 	0,01% 	+3,02% 	+4,96%
56 		Siacoin 	SC 	0,002493 	$96,83M 	$1,18M 	0% 	+4,92% 	+0,84%
57 		IOStoken 	IOST 	0,007582 	$91,76M 	$4,09M 	0,01% 	+5,48% 	+4,68%
58 		Dai 	DAI 	0,9549 	$89,20M 	$35,04M 	0,10% 	-0,79% 	+0,90%
59 		Bytom 	BTM 	0,08686 	$88,21M 	$2,24M 	0,01% 	+6,70% 	-0,64%
60 		Stratis 	STRAT 	0,8422 	$85,10M 	$1,00M 	0% 	+0,04% 	-3,61%
61 		Enjin coin 	ENJ 	0,103402 	$78,89M 	$35,15M 	0,11% 	+25,07% 	+19,84%
62 		Huobi Token 	HT 	1,4884 	$75,26M 	$40,09M 	0,12% 	+11,57% 	+29,47%
63 		Gemini Dollar 	GUSD 	1 	$71,59M 	$4,38M 	0,01% 	-0,59% 	+0,65%
64 		Status 	SNT 	0,019912 	$69,95M 	$11,59M 	0,03% 	+4,09% 	-1,87%
65 		Ravencoin 	RVN 	0,022416 	$69,07M 	$25,63M 	0,08% 	-10,86% 	+95,23%
66 		Populous 	PPT 	1,2574 	$66,52M 	$2,44M 	0,01% 	+4,72% 	+2,94%
67 		REPO 	REPO 	0,5949 	$66,20M 	$72,53K 	0% 	-3,92% 	-8,01%
68 		Mixin 	XIN 	147 	$64,10M 	$250,67K 	0% 	+8,28% 	+6,38%
69 		Aurora 	AOA 	0,010385 	$63,30M 	$2,89M 	0,01% 	+14,90% 	+37,58%
70 		Golem 	GNT 	0,065 	$63,22M 	$711,85K 	0% 	+2,31% 	0%
71 		Cryptonex 	CNX 	0,6596 	$61,90M 	$5,86M 	0,02% 	0% 	+1,09%
72 		Ark 	ARK 	0,5615 	$60,74M 	$579,42K 	0% 	+5,84% 	-3,33%
73 		PayPie 	PPP 	0,08696 	$59,00M 	$654,61 	0% 	+8,01% 	0%
74 		Ardor 	ARDR 	0,05918 	$58,42M 	$589,60K 	0% 	+3,33% 	+3,71%
75 		Factom 	FCT 	6,2242 	$57,52M 	$134,46K 	0% 	+4,34% 	-6,13%
76 		FREE Coin 	FREE 	0,00001430 	$56,46M 	$5,36K 	0% 	+2,09K% 	+2,04K%
77 		Electroneum 	ETN 	0,006106 	$56,12M 	$276,92K 	0% 	0% 	-11,11%
78 		MaidSafeCoin 	MAID 	0,1224 	$55,99M 	$265,22K 	0% 	+1,77% 	-2,64%
79 		Nexo 	NEXO 	0,10187 	$55,55M 	$5,84M 	0,02% 	+10,88% 	+40,69%
80 		Revain 	R 	0,1161 	$54,69M 	$1,12M 	0% 	-1,09% 	-11,72%
81 		Safe Exchange Coin 	SAFEX 	0,005135 	$49,51M 	$12,09K 	0% 	-1,75% 	+487,99%
82 		HyperCash 	HC 	1,1197 	$49,24M 	$518,41K 	0% 	+4,24% 	-2,73%
83 		MOAC 	MOAC 	0,77 	$49,10M 	$124,10K 	0% 	+6,51% 	+30,79%
84 		Loopring 	LRC 	0,05619 	$46,96M 	$1,17M 	0% 	+1,77% 	+0,83%
85 		Project Pai 	PAI 	0,0325437 	$45,99M 	$2,61M 	0,01% 	+4,29% 	+10,70%
86 		Walton 	WTC 	1,0925 	$45,18M 	$2,27M 	0,01% 	+3,08% 	+1,96%
87 		SIRIN LABS Token 	SRN 	0,07484 	$45,11M 	$1,78M 	0,01% 	0% 	+95,14%
88 		Decentraland 	MANA 	0,0424 	$45,07M 	$3,73M 	0,01% 	+7,78% 	-15,55%
89 		Crypto.com Chain 	CRO 	0,0128 	$44,90M 	$446,18K 	0% 	+5,58% 	+3,14%
90 		PIVX 	PIVX 	0,7985 	$44,73M 	$1,09M 	0% 	+2,41% 	+5,52%
91 		Loom Network 	LOOM 	0,06134 	$43,71M 	$6,36M 	0,02% 	+0,14% 	+13,85%
92 		KuCoin Shares 	KCS 	0,48 	$43,39M 	$541,89K 	0% 	+1,47% 	+7,48%
93 		Oyster Pearl 	PRL 	0,045166 	$43,35M 	$0 	0% 	+3,58% 	0%
94 		DEX 	DEX 	0,0234 	$42,68M 	$121,83K 	0% 	-7,52% 	+161,17%
95 		Insight Chain 	INB 	0,2516 	$42,48M 	$1,76M 	0,01% 	+4,17% 	-5,53%
96 		Maximine Coin 	MXM 	0,0178 	$42,40M 	$999,92K 	0% 	+9,24% 	+8,59%
97 		S4FE 	S4F 	1,02926 	$42,27M 	$921,59K 	0% 	-20,39% 	+47,48%
98 		ODEM 	ODE 	0,19301 	$41,86M 	$579,29K 	0% 	-1,03% 	+2,50%
99 		Linkey 	LKY 	0,837071 	$41,85M 	$484,57K 	0% 	+6,33% 	+6,70%
100 		Crypto.com 	MCO 	2,6165 	$41,81M 	$1,63M 	0% 	+6,95% 	-4,31%
101 		aelf 	ELF 	0,1447 	$41,18M 	$6,90M 	0,02% 	+4,84% 	-9,39%
102 		Digitex Futures 	DGTX 	0,0564 	$41,18M 	$3,16M 	0,01% 	+4,14% 	+44,35%
103 		MassGrid 	MGD 	0,775058 	$41,13M 	$59,06K 	0% 	+1,22K% 	+1,43K%
104 		Restart Energy MWAT 	MWAT 	0,016802 	$40,72M 	$51,57K 	0% 	+5,11% 	+462,94%
105 		Qubitica 	QBIT 	14,5149 	$40,72M 	$611,73K 	0% 	+5,32% 	+23,97%
106 		QASH 	QASH 	0,11327 	$40,59M 	$319,83K 	0% 	+5,25% 	+12,14%
